"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"08.11.1998","295,85","292,85","295,85","295,85","","0,96%"
"01.11.1998","293,05","292,75","293,05","293,05","","0,17%"
"25.10.1998","292,55","292,80","292,55","292,55","","-0,14%"
"18.10.1998","292,95","299,95","292,95","292,95","","-2,33%"
"11.10.1998","299,95","296,70","299,95","299,95","","1,08%"
"04.10.1998","296,75","300,35","296,75","296,75","","-1,26%"
"27.09.1998","300,55","294,25","300,55","300,55","","2,18%"
"20.09.1998","294,15","290,65","294,15","294,15","","0,93%"
"13.09.1998","291,45","292,70","291,45","291,45","","-0,78%"
"06.09.1998","293,75","287,05","293,75","293,75","","2,41%"
"30.08.1998","286,85","274,15","286,85","286,85","","4,56%"
"23.08.1998","274,35","284,25","274,35","274,35","","-3,67%"
"16.08.1998","284,80","283,80","284,80","284,80","","0,26%"
"09.08.1998","284,05","286,85","284,05","284,05","","-0,91%"
"02.08.1998","286,65","286,50","286,65","286,65","","0,07%"
"26.07.1998","286,45","291,50","286,45","286,45","","-1,72%"
"19.07.1998","291,45","294,50","291,45","291,45","","-1,04%"
"12.07.1998","294,50","289,85","294,50","294,50","","1,25%"
"05.07.1998","290,85","294,10","290,85","290,85","","-1,32%"
"28.06.1998","294,75","293,15","294,75","294,75","","0,31%"
"21.06.1998","293,85","297,00","293,85","293,85","","-1,64%"
"14.06.1998","298,75","285,55","298,75","298,75","","4,46%"
"07.06.1998","286,00","291,70","286,00","286,00","","-1,94%"
"31.05.1998","291,65","293,10","291,65","291,65","","-0,44%"
"24.05.1998","292,95","299,60","292,95","292,95","","-2,30%"
"17.05.1998","299,85","301,00","299,85","299,85","","-0,46%"
"10.05.1998","301,25","299,65","301,25","301,25","","0,47%"
"03.05.1998","299,85","302,75","299,85","299,85","","-0,79%"
"26.04.1998","302,25","312,45","302,25","302,25","","-3,33%"
"19.04.1998","312,65","306,95","312,65","312,65","","1,59%"
"12.04.1998","307,75","310,50","307,75","307,75","","-0,97%"
"05.04.1998","310,75","308,30","310,75","310,75","","0,81%"
"29.03.1998","308,25","302,75","308,25","308,25","","1,78%"
